price,volume,hour,date,side
199976.33,0.00048656,15,2019-09-10,sell
199973.43,0.00033359,15,2019-09-10,sell
199976.34,0.00087580,15,2019-09-10,sell
200000.00,0.00711979,15,2019-09-10,sell
200000.00,0.02261702,15,2019-09-10,sell
200000.00,0.04544065,15,2019-09-10,sell
199976.26,0.00038535,15,2019-09-10,sell
199973.39,0.00033359,15,2019-09-10,sell
199976.28,0.00078124,15,2019-09-10,sell
199973.33,0.00675090,15,2019-09-10,sell
198475.07,0.00023335,15,2019-09-10,buy
198475.07,0.00534517,15,2019-09-10,buy
198475.13,0.09418520,15,2019-09-10,buy
199970.26,0.00125160,15,2019-09-10,sell
199967.70,0.00034385,15,2019-09-10,sell
199970.27,0.00225288,15,2019-09-10,sell
199970.29,0.02633116,15,2019-09-10,sell
199970.11,0.00055071,15,2019-09-10,sell
199970.14,0.00045649,15,2019-09-10,sell
199970.00,0.00007602,15,2019-09-10,buy
199600.00,0.00069202,15,2019-09-10,buy
199600.00,0.01113395,15,2019-09-10,buy
199600.00,0.01590000,15,2019-09-10,buy
199969.85,0.00010002,15,2019-09-10,sell
199600.00,0.01017000,15,2019-09-10,buy
198475.00,0.00906998,15,2019-09-10,buy
198465.00,0.00507899,15,2019-09-10,buy
198465.00,0.01081715,15,2019-09-10,buy
199780.00,0.00503826,15,2019-09-10,buy
199780.00,0.00257181,15,2019-09-10,buy
198465.05,2.00000000,15,2019-09-10,buy
199900.00,2.10453262,15,2019-09-10,buy
199969.71,0.00457540,15,2019-09-10,sell
199101.01,0.00046128,17,2019-09-10,buy
200530.85,0.00088681,17,2019-09-10,sell
200530.94,0.00162691,17,2019-09-10,sell
200533.76,0.00735040,17,2019-09-10,sell
200519.47,0.00498705,17,2019-09-10,sell
200516.67,0.01410679,17,2019-09-10,sell
200514.14,0.00064955,17,2019-09-10,sell
199142.23,0.00099901,17,2019-09-10,buy
199142.31,0.00057087,17,2019-09-10,buy
199101.00,0.00100452,17,2019-09-10,buy
199100.00,0.00500846,17,2019-09-10,buy
199202.60,0.00100666,17,2019-09-10,buy
199202.93,0.00054205,17,2019-09-10,buy
199200.01,0.00088431,17,2019-09-10,buy
199205.96,0.21928000,17,2019-09-10,buy
200503.27,0.00088099,17,2019-09-10,sell
200505.81,0.15231383,17,2019-09-10,sell
200505.83,0.08461879,17,2019-09-10,sell
200505.86,2.25587916,17,2019-09-10,sell
200600.97,0.00726068,17,2019-09-10,sell
200600.98,0.06701809,17,2019-09-10,sell
200600.97,0.02997159,17,2019-09-10,sell
200601.00,0.05256093,17,2019-09-10,sell
199209.01,0.20000000,17,2019-09-10,buy
200598.07,0.00148321,17,2019-09-10,sell
200597.99,0.00080469,17,2019-09-10,sell
200601.00,0.06712735,17,2019-09-10,sell
200894.35,0.02028548,17,2019-09-10,sell
200711.80,0.00004638,17,2019-09-10,sell
199235.45,0.00724402,17,2019-09-10,buy
200000.00,0.00250000,17,2019-09-10,buy
199309.08,0.00054031,17,2019-09-10,buy
199309.00,0.00094238,17,2019-09-10,buy
199306.09,0.00056285,17,2019-09-10,buy
200499.97,0.01452868,17,2019-09-10,sell
199309.10,0.00024780,17,2019-09-10,buy
199311.70,0.00032462,17,2019-09-10,buy
199309.10,0.00056809,17,2019-09-10,buy
199309.02,0.00105503,17,2019-09-10,buy
199306.09,0.00103786,17,2019-09-10,buy
199600.00,0.00034086,17,2019-09-10,buy
200496.96,0.00049876,17,2019-09-10,sell
199600.00,0.01093870,17,2019-09-10,buy
199602.93,0.00181128,17,2019-09-10,buy
200496.96,0.00049876,17,2019-09-10,sell
200497.04,0.00189683,17,2019-09-10,sell
200496.93,0.00104105,17,2019-09-10,sell
200499.97,0.01824201,17,2019-09-10,sell
200499.98,0.02869547,17,2019-09-10,sell
199500.00,0.00551374,17,2019-09-10,buy
199306.09,0.00050174,17,2019-09-10,buy
199306.09,0.00080182,17,2019-09-10,buy
200496.99,0.00065890,17,2019-09-10,sell
200497.07,0.00122807,17,2019-09-10,sell
200499.97,0.00020762,17,2019-09-10,sell
199702.95,0.00410000,17,2019-09-10,buy
200496.96,0.00049876,17,2019-09-10,sell
199702.95,0.00181963,17,2019-09-10,buy
199306.09,0.02545565,17,2019-09-10,buy
200497.07,0.00148765,17,2019-09-10,sell
200496.91,0.00080723,17,2019-09-10,sell
200499.96,0.05673267,17,2019-09-10,sell
200499.94,0.02530662,17,2019-09-10,sell
200496.63,0.00061430,17,2019-09-10,sell
200496.52,0.00031340,17,2019-09-10,sell
200499.41,0.00793767,17,2019-09-10,sell
200496.43,0.00031672,17,2019-09-10,sell
199500.00,0.00015038,17,2019-09-10,buy
199999.99,0.00375000,17,2019-09-10,sell
199999.99,0.01311400,17,2019-09-10,sell
199999.98,0.05066651,17,2019-09-10,buy
200000.00,0.00010000,17,2019-09-10,sell
200000.00,0.05275000,17,2019-09-10,sell
200500.00,0.03253405,17,2019-09-10,sell
200000.00,0.21738461,17,2019-09-10,sell
199778.02,0.00222731,17,2019-09-10,buy
199999.98,0.04683350,17,2019-09-10,buy
199778.02,0.00390406,17,2019-09-10,buy
199500.00,0.04753880,17,2019-09-10,buy
199350.00,0.00737397,17,2019-09-10,buy
199306.07,0.08212236,17,2019-09-10,buy
200496.97,0.00029926,17,2019-09-10,sell
200496.97,0.00097799,17,2019-09-10,sell
200497.05,0.00178649,17,2019-09-10,sell
200499.97,0.00741038,17,2019-09-10,sell
200499.98,0.00229401,17,2019-09-10,sell
199999.00,0.00049552,17,2019-09-10,buy
200496.97,0.00076597,17,2019-09-10,sell
200497.05,0.00141544,17,2019-09-10,sell
200499.98,0.00978870,17,2019-09-10,sell
200500.00,0.02271670,18,2019-09-10,sell
200499.98,0.00125597,18,2019-09-10,sell
199999.00,0.00161545,18,2019-09-10,buy
199999.00,0.02023685,18,2019-09-10,buy
200496.99,0.00041311,18,2019-09-10,sell
200500.00,0.14921283,18,2019-09-10,sell
200500.00,0.02493766,18,2019-09-10,sell
200500.00,0.00250115,18,2019-09-10,sell
199999.00,0.00371892,18,2019-09-10,buy
200500.00,0.04987531,18,2019-09-10,sell
200100.00,0.00099950,19,2019-09-10,sell
199100.00,0.00404437,19,2019-09-10,buy
200100.00,0.00849575,19,2019-09-10,sell
199100.00,0.00494775,19,2019-09-10,buy
199100.00,0.00100453,19,2019-09-10,buy
199100.00,0.00114559,19,2019-09-10,buy
199100.00,0.00473714,19,2019-09-10,buy
