price,volume,hour,date,side
209250.00,0.00023600,11,2019-09-03,sell
209250.00,0.00477600,11,2019-09-03,sell
209400.00,0.00011180,11,2019-09-03,sell
209250.00,0.04288645,11,2019-09-03,sell
209400.00,0.00190600,11,2019-09-03,sell
209400.00,0.00327300,11,2019-09-03,sell
209400.00,0.00190600,11,2019-09-03,sell
209400.00,0.01469300,11,2019-09-03,sell
209549.87,0.01853477,11,2019-09-03,sell
209400.00,2.0E-7,11,2019-09-03,sell
208643.82,0.00020000,11,2019-09-03,buy
208649.85,0.00895468,11,2019-09-03,buy
208740.43,0.01398449,11,2019-09-03,buy
208737.42,0.04604000,11,2019-09-03,buy
208489.61,0.02447287,11,2019-09-03,buy
208487.01,1.20425699,11,2019-09-03,buy
212500.00,0.01410000,13,2019-09-03,sell
212500.00,0.00481000,13,2019-09-03,sell
212500.00,0.00343900,13,2019-09-03,sell
212500.00,0.01879900,13,2019-09-03,sell
211210.16,0.00023828,13,2019-09-03,buy
212500.00,0.01889100,13,2019-09-03,sell
212500.00,0.00244600,13,2019-09-03,sell
212500.00,0.00144927,13,2019-09-03,sell
212500.00,3.5E-7,13,2019-09-03,sell
212500.00,3.8E-7,13,2019-09-03,sell
212500.00,3.8E-7,13,2019-09-03,sell
212500.00,0.00399962,13,2019-09-03,sell
212500.00,0.01889100,13,2019-09-03,sell
212500.00,0.01889100,13,2019-09-03,sell
212500.00,0.00221762,13,2019-09-03,sell
212500.00,3.8E-7,13,2019-09-03,sell
212500.00,0.01889100,13,2019-09-03,sell
212500.00,0.00646200,13,2019-09-03,sell
212500.00,0.01889100,13,2019-09-03,sell
212500.00,0.01889100,13,2019-09-03,sell
212500.00,0.01889100,13,2019-09-03,sell
212500.00,0.01889100,13,2019-09-03,sell
212600.00,5E-8,13,2019-09-03,sell
212500.00,0.01616595,13,2019-09-03,sell
211171.98,0.00051595,13,2019-09-03,buy
212666.84,0.00020000,13,2019-09-03,sell
212600.00,0.00014640,13,2019-09-03,sell
212700.00,0.00257234,13,2019-09-03,sell
212725.00,0.00200000,13,2019-09-03,sell
212751.00,0.00565720,13,2019-09-03,sell
212790.00,0.05000000,13,2019-09-03,sell
212800.00,0.00234963,13,2019-09-03,sell
212888.88,0.00100000,13,2019-09-03,sell
212900.00,0.02535364,13,2019-09-03,sell
212900.00,0.00205237,13,2019-09-03,sell
212899.99,0.01033349,13,2019-09-03,sell
212899.99,0.04175515,13,2019-09-03,sell
211268.93,0.01286544,13,2019-09-03,buy
211306.34,0.00093840,13,2019-09-03,buy
211330.50,0.00525903,13,2019-09-03,buy
212899.99,0.01885300,13,2019-09-03,sell
212900.00,0.01885300,13,2019-09-03,sell
212900.00,0.00774600,13,2019-09-03,sell
212900.00,0.00187882,13,2019-09-03,sell
212900.00,0.02348520,13,2019-09-03,sell
211649.25,0.00061374,13,2019-09-03,buy
211900.01,0.00304481,13,2019-09-03,buy
211906.09,0.02150000,13,2019-09-03,buy
212899.99,0.03283833,13,2019-09-03,sell
212890.00,0.03000000,13,2019-09-03,sell
211918.26,0.00259590,13,2019-09-03,buy
212899.99,0.00256800,13,2019-09-03,sell
211256.65,0.00071469,13,2019-09-03,buy
211373.57,0.03746750,13,2019-09-03,buy
212899.95,0.00177548,13,2019-09-03,sell
212899.96,0.01356667,13,2019-09-03,sell
212899.98,0.27658556,13,2019-09-03,sell
212899.95,0.00576156,13,2019-09-03,sell
212000.05,0.01054183,13,2019-09-03,buy
212899.97,0.00596933,13,2019-09-03,sell
212899.98,0.01174304,13,2019-09-03,sell
212899.96,0.00331630,13,2019-09-03,sell
212899.99,0.83852361,13,2019-09-03,sell
212201.01,0.00403561,13,2019-09-03,buy
212201.01,0.00530487,13,2019-09-03,buy
212201.01,0.00500642,13,2019-09-03,buy
212899.98,0.00262651,13,2019-09-03,sell
212900.00,0.00765692,13,2019-09-03,sell
212899.97,0.00145917,13,2019-09-03,sell
212900.00,0.00046970,13,2019-09-03,sell
212300.01,0.00024678,13,2019-09-03,buy
212300.01,0.00513003,13,2019-09-03,buy
212900.00,0.01884500,13,2019-09-03,sell
212900.00,0.01884500,13,2019-09-03,sell
212900.00,0.34679076,13,2019-09-03,sell
212900.00,0.01979813,13,2019-09-03,sell
212900.00,0.01881100,13,2019-09-03,sell
212900.00,0.00220500,13,2019-09-03,sell
212900.00,0.01002607,13,2019-09-03,sell
212900.00,0.01881100,13,2019-09-03,sell
212900.00,0.00733500,13,2019-09-03,sell
212977.00,0.00972120,13,2019-09-03,sell
212900.00,0.00001380,13,2019-09-03,sell
212999.00,0.00513974,13,2019-09-03,sell
212977.00,2.6E-7,13,2019-09-03,sell
212999.00,2.6E-7,13,2019-09-03,sell
212999.97,0.00064203,13,2019-09-03,sell
212999.98,0.00115566,13,2019-09-03,sell
212999.99,5E-8,13,2019-09-03,sell
212999.99,0.01251179,13,2019-09-03,sell
213000.00,2.1E-7,13,2019-09-03,sell
213000.00,0.01015376,13,2019-09-03,sell
213000.00,0.00078085,13,2019-09-03,sell
213000.00,0.00160980,13,2019-09-03,sell
213000.00,0.00923100,13,2019-09-03,sell
213000.00,0.00323800,13,2019-09-03,sell
213000.00,0.00000571,13,2019-09-03,sell
213000.00,0.00324646,13,2019-09-03,sell
213000.00,0.00164500,13,2019-09-03,sell
213000.00,0.00000333,13,2019-09-03,sell
212668.82,0.02320000,14,2019-09-03,buy
213800.00,0.00070159,14,2019-09-03,sell
212855.40,0.00580159,14,2019-09-03,buy
213799.98,0.01948381,14,2019-09-03,sell
213799.99,0.00029937,14,2019-09-03,sell
213800.00,0.00453862,14,2019-09-03,sell
212932.66,0.16238934,14,2019-09-03,buy
212932.66,0.04500000,14,2019-09-03,buy
213800.00,0.00467727,14,2019-09-03,sell
213800.00,0.00935454,14,2019-09-03,sell
213800.00,0.00046773,14,2019-09-03,sell
212950.82,0.01906626,14,2019-09-03,buy
212962.48,0.00002364,14,2019-09-03,buy
213799.98,0.00010089,14,2019-09-03,sell
213799.98,0.01243332,14,2019-09-03,sell
213799.98,0.00393713,14,2019-09-03,buy
212995.66,0.05280734,14,2019-09-03,buy
213799.90,0.00065482,14,2019-09-03,sell
213499.97,0.00086766,14,2019-09-03,sell
213013.42,0.04504000,14,2019-09-03,buy
212935.50,0.00221336,14,2019-09-03,buy
213500.00,0.03064418,14,2019-09-03,sell
213499.98,0.00795732,14,2019-09-03,sell
213499.97,0.00355307,14,2019-09-03,sell
213017.63,0.07180187,14,2019-09-03,buy
213008.83,0.00661550,14,2019-09-03,buy
213008.81,0.00046469,14,2019-09-03,buy
213500.00,0.04683841,14,2019-09-03,sell
213500.00,0.00200417,14,2019-09-03,sell
213010.01,0.00469462,14,2019-09-03,buy
213500.00,0.04683841,14,2019-09-03,sell
213010.01,0.00023627,14,2019-09-03,buy
213500.00,0.87367483,14,2019-09-03,sell
213510.00,0.00227748,14,2019-09-03,sell
213010.01,0.00047758,14,2019-09-03,buy
213799.90,0.11512731,14,2019-09-03,sell
213510.00,0.00006434,14,2019-09-03,sell
213799.87,0.00194512,14,2019-09-03,sell
213799.98,0.00350122,14,2019-09-03,sell
213800.00,0.02435748,14,2019-09-03,sell
213030.99,0.00449397,14,2019-09-03,buy
213053.02,0.01426503,14,2019-09-03,buy
213059.06,0.03614475,14,2019-09-03,buy
213058.00,0.00246323,14,2019-09-03,buy
213059.01,0.04508000,14,2019-09-03,buy
213059.00,0.01408061,14,2019-09-03,buy
213010.00,0.00704193,14,2019-09-03,buy
213000.00,0.01693423,14,2019-09-03,buy
213500.00,0.00032787,14,2019-09-03,sell
213500.00,0.02107728,14,2019-09-03,sell
213000.03,0.00100000,14,2019-09-03,buy
213000.03,0.04508000,14,2019-09-03,buy
213000.03,0.15458244,14,2019-09-03,sell
213500.00,0.00040296,14,2019-09-03,sell
213500.00,0.00093677,14,2019-09-03,sell
213500.00,0.34449700,14,2019-09-03,sell
213500.00,0.06012183,14,2019-09-03,sell
213000.03,0.00058368,14,2019-09-03,buy
213500.00,0.02950820,14,2019-09-03,sell
213500.00,0.19434342,14,2019-09-03,sell
